static_init,parallel,k_context,module,approach
false,false,1,COMMUNICATION_LEAKAGE,COMPONENT_BASED
true,true,5,COMMUNICATION_LEAKAGE,BOTTOM_UP
false,true,10,COMMUNICATION_LEAKAGE,COMPONENT_BASED
true,false,1,TOKEN_TRACKING,BOTTOM_UP
false,true,5,TOKEN_TRACKING,COMPONENT_BASED
true,false,10,TOKEN_TRACKING,BOTTOM_UP
false,true,1,PASSWORD_TRACKING,BOTTOM_UP
true,false,5,PASSWORD_TRACKING,COMPONENT_BASED
false,false,10,PASSWORD_TRACKING,BOTTOM_UP
false,true,1,INTENT_INJECTION,BOTTOM_UP
true,false,5,INTENT_INJECTION,COMPONENT_BASED
false,false,10,INTENT_INJECTION,BOTTOM_UP
false,true,1,DATA_LEAKAGE,BOTTOM_UP
true,false,5,DATA_LEAKAGE,COMPONENT_BASED
false,true,10,DATA_LEAKAGE,COMPONENT_BASED
