aplength,cgalgo,nothischainreduction,dataflowsolver,aliasflowins,singlejoinpointabstraction,staticmode,nostatic,codeelimination,implicit,nocallbacks,callbackanalyzer,maxcallbackspercomponent,maxcallbacksdepth,enablereflection,pathalgo,noexceptions,taintwrapper
10,CHA,false,CONTEXTFLOWSENSITIVE,false,false,CONTEXTFLOWINSENSITIVE,false,REMOVECODE,ALL,false,FAST,10,10,false,CONTEXTSENSITIVE,false,EASY
1,CHA,true,FLOWINSENSITIVE,true,true,CONTEXTFLOWSENSITIVE,true,PROPAGATECONSTS,NONE,true,DEFAULT,1,1,true,CONTEXTINSENSITIVE,true,NONE
5,CHA,false,CONTEXTFLOWSENSITIVE,true,true,NONE,false,NONE,ARRAYONLY,true,FAST,5,5,true,SOURCESONLY,false,NONE
10,RTA,true,CONTEXTFLOWSENSITIVE,false,false,CONTEXTFLOWSENSITIVE,true,NONE,ALL,false,DEFAULT,1,5,false,CONTEXTSENSITIVE,true,EASY
1,RTA,false,FLOWINSENSITIVE,false,false,NONE,false,REMOVECODE,NONE,false,DEFAULT,5,10,true,CONTEXTINSENSITIVE,false,EASY
5,RTA,true,CONTEXTFLOWSENSITIVE,false,false,CONTEXTFLOWINSENSITIVE,true,PROPAGATECONSTS,ARRAYONLY,true,FAST,10,1,false,SOURCESONLY,true,NONE
10,VTA,false,CONTEXTFLOWSENSITIVE,true,true,NONE,true,PROPAGATECONSTS,ALL,false,DEFAULT,5,1,false,CONTEXTSENSITIVE,false,EASY
1,VTA,true,FLOWINSENSITIVE,true,true,CONTEXTFLOWINSENSITIVE,false,NONE,NONE,true,FAST,10,5,false,CONTEXTINSENSITIVE,true,NONE
5,VTA,false,CONTEXTFLOWSENSITIVE,true,false,CONTEXTFLOWSENSITIVE,true,REMOVECODE,ARRAYONLY,false,DEFAULT,1,10,true,SOURCESONLY,true,EASY
10,GEOM,true,CONTEXTFLOWSENSITIVE,false,true,NONE,false,PROPAGATECONSTS,NONE,true,DEFAULT,10,5,true,SOURCESONLY,false,NONE
1,GEOM,false,FLOWINSENSITIVE,true,false,CONTEXTFLOWINSENSITIVE,true,NONE,ARRAYONLY,true,FAST,1,10,true,CONTEXTSENSITIVE,true,EASY
5,GEOM,true,CONTEXTFLOWSENSITIVE,false,true,CONTEXTFLOWSENSITIVE,false,REMOVECODE,ALL,true,FAST,5,1,false,CONTEXTINSENSITIVE,false,NONE
10,SPARK,true,FLOWINSENSITIVE,false,true,NONE,false,PROPAGATECONSTS,ARRAYONLY,false,DEFAULT,1,10,true,CONTEXTINSENSITIVE,true,NONE
1,SPARK,false,CONTEXTFLOWSENSITIVE,true,false,CONTEXTFLOWINSENSITIVE,true,NONE,ALL,true,FAST,5,1,false,CONTEXTSENSITIVE,false,EASY
5,SPARK,true,FLOWINSENSITIVE,false,false,CONTEXTFLOWSENSITIVE,true,REMOVECODE,NONE,false,DEFAULT,10,5,false,CONTEXTSENSITIVE,false,NONE
1,SPARK,false,CONTEXTFLOWSENSITIVE,false,false,CONTEXTFLOWINSENSITIVE,true,PROPAGATECONSTS,NONE,false,DEFAULT,5,1,true,SOURCESONLY,true,NONE
10,RTA,true,CONTEXTFLOWSENSITIVE,true,true,CONTEXTFLOWSENSITIVE,true,PROPAGATECONSTS,ALL,false,FAST,1,1,true,CONTEXTSENSITIVE,false,NONE
5,VTA,false,CONTEXTFLOWSENSITIVE,false,true,CONTEXTFLOWSENSITIVE,false,PROPAGATECONSTS,ARRAYONLY,false,FAST,1,10,false,SOURCESONLY,false,EASY
10,GEOM,true,CONTEXTFLOWSENSITIVE,true,true,CONTEXTFLOWINSENSITIVE,false,NONE,NONE,false,DEFAULT,5,5,false,CONTEXTSENSITIVE,false,EASY
