dump-duplicate-symbols,headers,max-nesting,jobs,reactive,scheduler
false,false,1,1,false,restart
true,true,5,1,true,callgraph
false,true,10,1,false,file
true,false,100,1,true,restart
false,true,1,5,true,callgraph
true,false,5,5,false,file
true,true,10,5,true,restart
false,false,100,5,false,callgraph
true,true,1,10,true,file
false,false,5,10,false,restart
false,false,10,10,false,callgraph
true,true,100,10,false,file
true,false,1,20,true,restart
false,true,5,20,false,callgraph
false,true,10,20,false,file
false,false,100,20,true,file
true,false,1,50,true,restart
false,true,5,50,false,callgraph
true,true,10,50,false,file
false,false,100,50,true,callgraph
