reflectionSetting,handleStaticInit,useConstantSpecificKeys,handleCallApply,enableCorrelationTracking
FULL,true,false,false,false
FULL,false,true,true,true
APPLICATION_GET_METHOD,true,true,false,true
APPLICATION_GET_METHOD,false,false,true,false
NO_FLOW_TO_CASTS,true,true,true,false
NO_FLOW_TO_CASTS,false,false,false,true
NO_FLOW_TO_CASTS_APPLICATION_GET_METHOD,true,true,true,false
NO_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,false,false,true
NO_METHOD_INVOKE,true,true,true,false
NO_METHOD_INVOKE,false,false,false,true
NO_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,true,true,false
NO_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,false,false,true
ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,true,true,false
ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,false,false,true
ONE_FLOW_TO_CASTS_APPLICATION_GET_METHOD,true,true,true,false
ONE_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,false,false,true
MULTI_FLOW_TO_CASTS_APPLICATION_GET_METHOD,true,true,true,false
MULTI_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,false,false,true
NO_STRING_CONSTANTS,true,true,true,false
NO_STRING_CONSTANTS,false,false,false,true
STRING_ONLY,true,true,true,false
STRING_ONLY,false,false,false,true
NONE,true,true,true,false
NONE,false,false,false,true
